id,pracab,pracabbrev,praccolor,rgbcolor,hexcolor
2323,,A069C,"100,82,41,36",,
2324,,A004C,"58,13,100,0",,
2325,,A032C,"82,63,36,17",,
2326,,A002C,"23,91,100,17",,
2327,,A080C,"74,67,66,86",,
2328,,A984B,"81,62,47,31",,
2329,,A005C,"66,44,31,4",,
2330,,A944B,"65,0,34,0",,
2331,,A098C,"86,48,0,0",,
2332,,A041C,"0,24,90,0",,
2333,,A093C,"18,100,90,7",,
2334,,A027C,"71,18,0,0",,
2335,,A051C,"55,0,21,0",,
2336,,A055C,"80,4,100,0",,
2337,,A042C,"39,61,100,31",,
2338,,A082C,"27,10,7,0",,
2339,,A967B,"41,25,100,3",,
2340,,A987B,"81,44,12,0",,
2341,,A097C,"0,24,57,0",,
2342,,A999B,"42,2,100,0",,
2343,,A010C,"79,51,87,66",,
2344,,A092C,"0,59,100,0",,
2345,,A001C,"84,72,20,4",,
2346,,A015C,"93,59,24,5",,
2347,,A107C,"49,100,18,3",,
2348,,A974B,"39,53,96,23",,
2349,,A073C,"0,50,76,0",,
2350,,A988B,"43,49,0,0",,
2351,,A083C,"21,44,75,2",,
2352,,A052C,"87,74,0,0",,
2353,,A065C,"72,36,32,3",,
2354,,A948B,"97,90,0,0",,
2355,,A039C,"50,100,0,0",,
2356,,A932B,"71,16,1,0",,
2357,,A040C,"86,36,42,7",,
2358,,A018C,"85,71,31,14",,
2359,,A930B,"92,64,2,0",,
2360,,A096C,"0,80,95,0",,
2361,,A029C,"72,48,53,23",,
2362,,A033C,"40,22,80,2",,
2363,,A929B,"63,42,99,30",,
2364,,A934B,"15,100,90,10",,
2365,,A049C,"100,100,24,19",,
2366,,A066C,"59,5,100,0",,
2367,,A953B,"29,100,100,38",,
2368,,A971B,"85,57,8,0",,
2369,,A008C,"35,60,80,25",,
2370,,A024C,"85,66,42,27",,
2371,,A079C,"63,0,9,0",,
2372,,A074C,"51,0,95,0",,
2373,,A054C,"100,82,41,36",,
2374,,A106C,"55,60,65,40",,
2375,,A034C,"94,82,44,42",,
2376,,A081C,"90,53,17,2",,
2377,,A968B,"100,93,35,43",,
2378,,A956B,"72,29,31,1",,
2379,,A101C,"83,32,26,1",,
2380,,A037C,"100,96,27,50",,
2381,,A998B,"13,100,100,4",,
2382,,A961B,"60,12,0,0",,
2383,,A007C,"8,85,100,1",,
2384,,A104C,"78,24,9,0",,
2385,,A061C,"57,22,24,0",,
2386,,A077C,"100,97,2,2",,
2387,,A035C,"33,0,35,0",,
2388,,A977B,"59,6,100,0",,
2389,,A006C,"84,76,4,0",,
2390,,A991B,"87,48,17,1",,
2391,,A089C,"75,22,7,0",,
2392,,A972B,"71,71,7,0",,
2393,,A105C,"81,63,0,0",,
2394,,A020C,"64,57,61,40",,
2395,,A011C,"44,63,84,43",,
2396,,A046C,"88,57,29,8",,
2397,,A939B,"75,68,67,90",,
2398,,A048C,"85,50,0,0",,
2399,,A995B,"100,87,29,18",,
2400,,A058C,"88,55,27,6",,
2401,,A993B,"63,2,30,0",,
2402,,A947B,"99,75,16,3",,
2403,,A087C,"42,67,0,0",,
2404,,A970B,"31,25,25,0",,
2405,,A963B,"89,71,2,0",,
2406,,A966B,"76,10,31,0",,
2407,,A964B,"96,67,15,2",,
2408,,A091C,"24,95,82,16",,
2409,,A084C,"28,76,100,24",,
2410,,A012C,"44,1,22,0",,
2411,,A103C,"91,71,49,45",,
2412,,A022C,"100,78,36,23",,
2413,,A023C,"89,71,30,13",,
2414,,A983B,"89,60,44,25",,
2415,,A013C,"44,11,9,0",,
2416,,A935B,"82,44,100,49",,
2417,,A985B,"72,12,81,1",,
2418,,A941B,"87,69,2,0",,
2419,,A950B,"81,27,17,0",,
2420,,A975B,"100,91,37,33",,
2421,,A992B,"58,10,25,0",,
2422,,A009C,"61,100,14,3",,
2423,,A057C,"70,32,22,0",,
2424,,A099C,"68,40,0,0",,
2425,,A088C,"15,87,100,4",,
2426,,A068C,"68,95,11,2",,
2427,,A108C,"7,0,0,0",,
2428,,A951B,"70,18,0,0",,
2429,,A043C,"100,83,14,2",,
2430,,A056C,"73,67,63,74",,
2431,,A100C,"93,72,5,0",,
2432,,A026C,"90,41,80,39",,
2433,,A031C,"100,82,41,36",,
2434,,A973B,"100,80,8,0",,
2435,,A102C,"78,15,39,0",,
2436,,A016C,"88,45,56,25",,
2437,,A957B,"44,63,84,43",,
2438,,A000C,"80,82,24,9",,
2439,,A028C,"15,100,90,10",,
2440,,A981B,"92,58,60,50",,
2441,,A933B,"39,2,67,0",,
2442,,A076C,"13,43,95,0",,
2443,,A062C,"75,100,0,0",,
2444,,A017C,"78,38,0,0",,
2445,,A940B,"46,15,0,0",,
2446,,A047C,"65,20,33,0",,
2447,,A064C,"24,0,0,0",,
2448,,A945B,"42,70,95,49",,
2449,,A535B,"91,56,4,0",,
2450,,A582B,"90,60,2,0",,
2451,,A288B,"71,33,0,0",,
2452,,A422B,"89,60,0,0",,
2453,,A732B,"10,92,73,1",,
2454,,A393B,"0,99,97,0",,
2455,,A544B,"93,89,9,2",,
2456,,A301B,"85,64,0,0",,
2457,,A141C,"36,33,46,1",,
2458,,A145C,"0,98,90,0",,
2459,,A513B,"76,39,57,18",,
2460,,A684B,"90,66,0,0",,
2461,,A409B,"91,67,0,0",,
2462,,A532B,"13,87,100,2",,
2463,,A444B,"91,67,0,0",,
2464,,A585B,"91,67,0,0",,
2465,,A346B,"68,11,100,1",,
2466,,A494B,"47,4,100,0",,
2467,,A647B,"47,4,100,0",,
2468,,A451B,"72,44,4,0",,
2469,,A209B,"53,21,100,3",,
2470,,A680B,"66,18,0,0",,
2471,,A531B,"76,42,0,0",,
2472,,A441B,"49,2,12,0",,
2473,,A423B,"99,71,27,9",,
2474,,A560B,"11,47,78,0",,
2475,,A440B,"1,100,100,0",,
2476,,A540B,"25,74,75,13",,
2477,,A659B,"93,98,13,3",,
2478,,A527B,"1,98,81,0",,
2479,,A694B,"47,48,43,7",,
2480,,A495B,"78,24,9,0",,
2481,,A135C,"93,76,2,0",,
2482,,A648B,"75,16,5,0",,
2483,,A276B,"69,90,40,34",,
2484,,A384B,"87,46,31,6",,
2485,,A533B,"42,22,3,0",,
2486,,A241B,"2,20,84,0",,
2487,,A679B,"64,19,36,0",,
2488,,A418B,"0,49,97,0",,
2489,,A575B,"47,49,58,16",,
2490,,A420B,"66,0,40,0",,
2491,,A264B,"68,0,7,0",,
2492,,A226B,"100,78,36,23",,
2493,,A651B,"76,41,0,0",,
2494,,A456B,"8,98,100,1",,
2495,,A722B,"100,81,20,5",,
2496,,A131C,"31,91,76,61",,
2497,,A510B,"85,17,100,4",,
2498,,A342B,"9,88,99,1",,
2499,,A136C,"87,62,56,48",,
2500,,A245B,"55,47,46,11",,
2501,,A721B,"79,27,20,0",,
2502,,A249B,"20,100,100,13",,
2503,,A225B,"64,0,39,0",,
2504,,A569B,"85,31,100,21",,
2505,,A630B,"77,38,42,8",,
2506,,A594B,"91,59,2,0",,
2507,,A704B,"88,80,0,0",,
2508,,A383B,"32,100,91,45",,
2509,,A469B,"0,64,94,0",,
2510,,A660B,"91,67,0,0",,
2511,,A271B,"100,98,9,9",,
2512,,A314B,"10,100,100,2",,
2513,,A433B,"99,93,15,4",,
2514,,A550B,"57,13,9,0",,
2515,,A127C,"84,38,42,9",,
2516,,A297B,"100,82,18,4",,
2517,,A618B,"85,47,0,0",,
2518,,A250B,"100,82,21,6",,
2519,,A416B,"100,95,40,48",,
2520,,A284B,"0,87,100,0",,
2521,,A338B,"3,65,90,0",,
2522,,A503B,"53,33,0,0",,
2523,,A554B,"19,100,100,12",,
2524,,A143C,"65,60,38,15",,
2525,,A233B,"86,36,42,7",,
2526,,A700B,"98,80,8,1",,
2527,,A140C,"11,66,98,1",,
2528,,A663B,"89,44,28,4",,
2529,,A291B,"75,58,23,4",,
2530,,A499B,"29,5,100,0",,
2531,,A615B,"82,40,40,8",,
2532,,A603B,"49,2,0,0",,
2533,,A514B,"98,82,27,13",,
2534,,A285B,"82,44,2,0",,
2535,,A515B,"82,24,39,2",,
2536,,A341B,"3,11,60,0",,
2537,,A381B,"60,11,21,0",,
2538,,A310B,"45,0,75,0",,
2539,,A691B,"0,79,100,0",,
2540,,A486B,"48,41,37,3",,
2541,,A353B,"0,99,100,0",,
2542,,A561B,"0,98,17,0",,
2543,,A187B,"60,18,99,2",,
2544,,A463B,"79,34,27,1",,
2545,,A665B,"62,15,24,0",,
2546,,A202B,"42,70,94,49",,
2547,,A509B,"47,33,85,10",,
2548,,A731B,"0,99,100,0",,
2549,,A275B,"71,42,27,2",,
2550,,A340B,"90,68,0,0",,
2551,,A677B,"76,45,0,0",,
2552,,A387B,"87,44,19,1",,
2553,,A477B,"93,73,10,1",,
2554,,A395B,"87,31,73,17",,
2555,,A218B,"97,87,23,9",,
2556,,A571B,"24,64,65,7",,
2557,,A529B,"24,64,65,7",,
2558,,A673B,"90,58,41,20",,
2559,,A222B,"70,67,64,74",,
2560,,A192B,"74,8,21,0",,
2561,,A352B,"78,56,76,71",,
2562,,A728B,"0,95,69,0",,
2563,,A242B,"76,17,24,0",,
2564,,A153C,"83,35,21,1",,
2565,,A705B,"95,78,2,0",,
2566,,A626B,"22,64,73,6",,
2567,,A410B,"100,100,26,15",,
2568,,A274B,"0,84,91,0",,
2569,,A379B,"58,62,86,68",,
2570,,A357B,"51,15,75,0",,
2571,,A430B,"83,41,16,0",,
2572,,A541B,"29,6,100,0",,
2573,,A363B,"80,25,13,0",,
2574,,A133C,"78,53,9,0",,
2575,,A208B,"47,64,69,38",,
2576,,A150C,"99,93,3,0",,
2577,,A452B,"50,51,61,21",,
2578,,A186B,"50,51,61,21",,
2579,,A473B,"83,24,58,5",,
2580,,A316B,"27,100,69,20",,
2581,,A574B,"69,63,64,60",,
2582,,A470B,"53,21,100,3",,
2583,,A526B,"65,9,24,0",,
2584,,A194B,"72,78,0,0",,
2585,,A682B,"100,98,24,35",,
2586,,A733B,"77,20,18,0",,
2587,,A599B,"18,70,100,5",,
2588,,A417B,"71,19,71,3",,
2589,,A331B,"73,42,31,4",,
2590,,A426B,"33,58,92,19",,
2591,,A248B,"71,45,100,44",,
2592,,A688B,"94,64,18,3",,
2593,,A653B,"100,82,17,4",,
2594,,A359B,"27,26,58,0",,
2595,,A656B,"90,43,91,51",,
2596,,A193B,"75,5,39,0",,
2597,,A247B,"20,100,100,13",,
2598,,A592B,"20,100,100,12",,
2599,,A528B,"31,98,97,44",,
2600,,A631B,"32,100,47,15",,
2601,,A479B,"100,91,5,0",,
2602,,A511B,"72,37,0,0",,
2603,,A620B,"37,13,11,0",,
2604,,A507B,"56,0,7,0",,
2605,,A465B,"100,100,36,35",,
2606,,A522B,"87,49,0,0",,
2607,,A567B,"83,32,76,19",,
2608,,A474B,"84,46,0,0",,
2609,,A652B,"54,34,3,0",,
2610,,A613B,"87,44,19,1",,
2611,,A270B,"100,89,5,0",,
2612,,A265B,"19,98,87,9",,
2613,,A640B,"60,90,0,0",,
2614,,A211B,"9,22,100,0",,
2615,,A385B,"20,100,100,12",,
2616,,A212B,"90,38,100,37",,
2617,,A255B,"32,100,100,47",,
2618,,A484B,"78,61,39,19",,
2619,,A602B,"12,59,49,0",,
2620,,A650B,"49,50,60,19",,
2621,,A739B,"51,56,67,33",,
2622,,A718B,"14,71,100,3",,
2623,,A328B,"91,67,0,0",,
2624,,A727B,"0,64,86,0",,
2625,,A548B,"64,56,56,32",,
2626,,A333B,"100,82,17,4",,
2627,,A321B,"94,56,43,22",,
2628,,A480B,"80,50,47,21",,
2629,,A442B,"57,4,100,0",,
2630,,A142C,"40,2,99,0",,
2631,,A286B,"58,3,1,0",,
2632,,A657B,"88,77,0,0",,
2633,,A294B,"60,25,10,0",,
2634,,A257B,"75,66,21,4",,
2635,,A498B,"72,88,25,10",,
2636,,A643B,"53,21,0,0",,
2637,,A330B,"72,65,65,73",,
2638,,A693B,"40,2,25,0",,
2639,,A259B,"85,40,36,7",,
2640,,A505B,"36,96,70,49",,
2641,,A644B,"42,2,100,0",,
2642,,A675B,"87,48,17,1",,
2643,,A343B,"11,91,85,2",,
2644,,A199B,"56,73,73,78",,
2645,,A206B,"50,0,100,0",,
2646,,A703B,"75,0,100,0",,
2647,,A708B,"83,43,30,4",,
2648,,A361B,"21,16,16,0",,
2649,,A378B,"66,0,36,0",,
2650,,A549B,"54,60,65,40",,
2651,,A512B,"86,41,27,3",,
2652,,A137C,"89,78,0,0",,
2653,,A200B,"56,9,5,0",,
2654,,A552B,"70,15,0,0",,
2655,,A306B,"69,64,62,59",,
2656,,A438B,"20,0,85,0",,
2657,,A262B,"82,28,89,15",,
2658,,A692B,"100,79,16,3",,
2659,,A398B,"47,38,38,2",,
2660,,A629B,"86,50,0,0",,
2661,,A487B,"77,69,2,0",,
2662,,A386B,"90,64,0,0",,
2663,,A475B,"0,78,98,0",,
2664,,A277B,"90,53,22,3",,
2665,,A198B,"69,13,40,0",,
2666,,A547B,"90,37,81,30",,
2667,,A578B,"79,56,0,0",,
2668,,A210B,"59,61,66,48",,
2669,,A220B,"65,57,56,34",,
2670,,A683B,"36,87,77,51",,
2671,,A662B,"47,28,11,0",,
2672,,A370B,"66,16,41,0",,
2673,,A634B,"85,24,87,9",,
2674,,A329B,"73,100,16,4",,
2675,,A646B,"0,61,45,0",,
2676,,A623B,"56,27,27,0",,
2677,,A556B,"78,29,1,0",,
2678,,A299B,"9,100,99,2",,
2679,,A632B,"100,82,17,4",,
2680,,A203B,"14,100,85,4",,
2681,,A467B,"100,90,19,5",,
2682,,A246B,"0,44,87,0",,
2683,,A128C,"83,33,57,13",,
2684,,A690B,"93,62,4,0",,
2685,,A232B,"72,100,5,1",,
2686,,A616B,"48,16,0,0",,
2687,,A448B,"100,82,40,34",,
2688,,A460B,"30,100,100,42",,
2689,,A449B,"61,0,0,0",,
2690,,A669B,"60,0,61,0",,
2691,,A542B,"45,0,75,0",,
2692,,A604B,"41,0,24,0",,
2693,,A196B,"18,84,55,3",,
2694,,A699B,"27,100,100,32",,
2695,,A281B,"38,0,77,0",,
2696,,A326B,"41,10,83,0",,
2697,,A635B,"93,66,0,0",,
2698,,A461B,"92,54,22,4",,
2699,,A579B,"100,75,26,9",,
2700,,A588B,"88,53,1,0",,
2701,,A201B,"67,35,62,14",,
2702,,A572B,"43,81,0,0",,
2703,,A543B,"56,53,69,36",,
2704,,A419B,"0,49,97,0",,
2705,,A312B,"10,100,87,2",,
2706,,A435B,"37,0,5,0",,
2707,,A502B,"2,22,45,0",,
2708,,A483B,"82,76,0,0",,
2709,,A580B,"100,89,42,51",,
2710,,A622B,"75,68,67,90",,
2711,,A524B,"93,77,36,23",,
2712,,A710B,"97,94,40,40",,
2713,,A472B,"96,86,6,0",,
2714,,A614B,"95,82,3,0",,
2715,,A289B,"22,48,66,3",,
2716,,A678B,"9,100,100,2",,
2717,,A397B,"5,55,96,0",,
2718,,A671B,"98,97,3,0",,
2719,,A325B,"70,67,64,74",,
2720,,A324B,"98,76,23,7",,
2721,,A318B,"0,95,98,0",,
2722,,A488B,"35,45,58,7",,
2723,,A596B,"86,31,49,8",,
2724,,A400B,"39,91,61,44",,
2725,,A538B,"100,85,8,1",,
2726,,A213B,"89,43,42,12",,
2727,,A130C,"28,27,32,0",,
2728,,A425B,"100,98,14,17",,
2729,,A445B,"82,48,0,0",,
2730,,A508B,"86,33,45,7",,
2731,,A390B,"49,3,1,0",,
2732,,A308B,"0,0,0,100",,
2733,,A251B,"100,77,25,9",,
2734,,A237B,"38,64,91,33",,
2735,,A243B,"84,68,50,44",,
2736,,A298B,"2,15,98,0",,
2737,,A687B,"49,44,27,1",,
2738,,A367B,"14,38,85,0",,
2739,,A401B,"14,38,85,0",,
2740,,A724B,"80,34,0,0",,
2741,,A282B,"20,100,100,12",,
2742,,A268B,"73,13,17,0",,
2743,,A207B,"76,32,27,1",,
2744,,A611B,"100,90,38,33",,
2745,,A717B,"47,48,43,7",,
2746,,A360B,"60,90,0,0",,
2747,,A263B,"31,53,53,6",,
2748,,A672B,"97,96,0,0",,
2749,,A506B,"3,91,14,0",,
2750,,A368B,"70,80,28,12",,
2751,,A424B,"80,37,2,0",,
2752,,A695B,"39,0,2,0",,
2753,,A583B,"20,100,100,12",,
2754,,A619B,"4,66,100,0",,
2755,,A702B,"2,62,100,0",,
2756,,A404B,"54,14,78,0",,
2757,,A744B,"84,52,0,0",,
2758,,A147C,"87,32,100,22",,
2759,,A485B,"92,65,38,20",,
2760,,A414B,"9,99,76,1",,
2761,,A566B,"100,89,31,19",,
2762,,A215B,"83,27,36,2",,
2763,,A235B,"64,56,53,27",,
2764,,A714B,"0,64,100,0",,
2765,,A315B,"97,78,45,42",,
2766,,A457B,"2,100,76,0",,
2767,,A581B,"12,94,87,2",,
2768,,A279B,"0,98,90,0",,
2769,,A586B,"63,31,69,11",,
2770,,A296B,"60,90,0,0",,
2771,,A589B,"100,94,18,10",,
2772,,A269B,"84,100,6,1",,
2773,,A380B,"62,0,27,0",,
2774,,A429B,"83,40,100,39",,
2775,,A365B,"97,84,11,2",,
2776,,A450B,"2,29,90,0",,
2777,,A685B,"81,49,93,61",,
2778,,A278B,"69,15,0,0",,
2779,,A358B,"30,99,88,36",,
2780,,A260B,"2,5,58,0",,
2781,,A304B,"55,14,100,0",,
2782,,A557B,"0,48,100,0",,
2783,,A332B,"0,100,78,0",,
2784,,A214B,"9,98,100,1",,
2785,,A364B,"75,55,11,0",,
2786,,A559B,"7,64,100,0",,
2787,,A591B,"100,86,18,5",,
2788,,A437B,"100,86,18,5",,
2789,,A725B,"67,30,100,14",,
2790,,A564B,"100,99,11,1",,
2791,,A517B,"67,60,59,44",,
2792,,A537B,"83,87,24,9",,
2793,,A239B,"22,44,83,3",,
2794,,A303B,"14,100,100,5",,
2795,,A344B,"100,98,14,18",,
2796,,A491B,"25,9,11,0",,
2797,,A405B,"71,16,0,0",,
2798,,A674B,"49,3,1,0",,
2799,,A696B,"57,0,2,0",,
2800,,A428B,"61,0,99,0",,
2801,,A493B,"100,85,4,0",,
2802,,A489B,"100,98,29,21",,
2803,,A481B,"33,0,2,0",,
2804,,A464B,"12,99,68,2",,
2805,,A369B,"82,42,7,0",,
2806,,A197B,"83,41,0,0",,
2807,,A348B,"77,40,0,0",,
2808,,A546B,"62,34,82,15",,
2809,,A139C,"70,7,20,0",,
2810,,A355B,"66,20,0,0",,
2811,,A455B,"84,49,0,0",,
2812,,A521B,"100,82,17,4",,
2813,,A221B,"81,47,0,0",,
2814,,A356B,"52,23,85,4",,
2815,,A307B,"87,65,7,0",,
2816,,A228B,"75,68,67,88",,
2817,,A649B,"88,24,100,11",,
2818,,A530B,"82,21,46,2",,
2819,,A605B,"78,47,100,54",,
2820,,A412B,"30,98,95,38",,
2821,,A621B,"60,90,0,0",,
2822,,A539B,"50,0,18,0",,
2823,,A258B,"29,100,100,37",,
2824,,A568B,"42,19,16,0",,
2825,,A737B,"8,43,100,0",,
2826,,A334B,"86,50,0,0",,
2827,,A436B,"57,21,2,0",,
2828,,A134C,"27,100,100,29",,
2829,,A551B,"75,46,100,49",,
2830,,A309B,"73,74,40,0",,
2831,,A518B,"83,25,53,5",,
2832,,A576B,"16,95,23,0",,
2833,,A272B,"44,6,88,0",,
2834,,A454B,"75,68,67,90",,
2835,,A427B,"94,83,6,0",,
2836,,A254B,"75,1,46,0",,
2837,,A283B,"82,16,100,4",,
2838,,A639B,"91,66,0,0",,
2839,,A132C,"100,76,32,16",,
2840,,A716B,"88,77,0,0",,
2841,,A468B,"31,97,96,42",,
2842,,A593B,"79,57,44,23",,
2843,,A227B,"0,95,93,0",,
2844,,A406B,"50,50,100,31",,
2845,,A407B,"50,50,100,31",,
2846,,A740B,"57,58,73,51",,
2847,,A706B,"7,9,62,0",,
2848,,A354B,"1,97,98,0",,
2849,,A553B,"85,77,34,21",,
2850,,A745B,"100,98,7,7",,
2851,,A351B,"86,43,77,41",,
2852,,A637B,"5,100,100,0",,
2853,,A350B,"20,93,100,10",,
2854,,A152C,"91,58,15,1",,
2855,,A536B,"60,90,0,0",,
2856,,A399B,"57,75,68,82",,
2857,,A217B,"7,61,100,0",,
2858,,A266B,"60,90,0,0",,
2859,,A290B,"83,25,56,6",,
2860,,A413B,"59,63,73,64",,
2861,,A555B,"0,65,100,0",,
2862,,A597B,"0,79,98,0",,
2863,,A471B,"44,53,97,30",,
2864,,A697B,"98,83,45,55",,
2865,,A183B,"40,27,63,2",,
2866,,A403B,"93,70,3,0",,
2867,,A411B,"84,9,98,1",,
2868,,A709B,"88,64,22,5",,
2869,,A261B,"69,14,0,0",,
2870,,A236B,"10,96,91,1",,
2871,,A396B,"75,68,67,90",,
2872,,A741B,"100,80,25,9",,
2873,,A371B,"100,80,25,9",,
2874,,A224B,"69,62,61,52",,
2875,,A525B,"76,18,24,0",,
2876,,A601B,"66,45,14,0",,
2877,,A339B,"56,1,29,0",,
2878,,A431B,"21,92,100,12",,
2879,,A496B,"32,100,47,15",,
2880,,A144C,"55,26,62,4",,
2881,,A711B,"73,54,0,0",,
2882,,A715B,"63,17,29,0",,
2883,,A388B,"74,0,45,0",,
2884,,A443B,"90,66,0,0",,
2885,,A230B,"6,82,90,0",,
2886,,A320B,"97,94,4,0",,
2887,,A664B,"100,85,19,5",,
2888,,A726B,"94,64,28,9",,
2889,,A195B,"100,78,39,29",,
2890,,A408B,"76,24,15,0",,
2891,,A415B,"5,51,100,0",,
2892,,A129C,"83,44,3,0",,
2893,,A723B,"74,97,1,0",,
2894,,A323B,"4,99,95,0",,
2895,,A447B,"77,28,1,0",,
2896,,A670B,"100,89,35,27",,
2897,,A244B,"100,76,27,11",,
2898,,A302B,"4,100,94,0",,
2899,,A149C,"100,97,30,20",,
2900,,A231B,"68,32,0,0",,
2901,,A633B,"100,83,17,4",,
2902,,A267B,"98,85,45,52",,
2903,,A148C,"19,100,91,9",,
2904,,A191B,"52,41,40,5",,
2905,,A179C,"78,46,91,49",,
2906,,A171C,"96,69,47,38",,
2907,,A159C,"85,36,39,6",,
2908,,A187C,"2,64,100,0",,
2909,,A162C,"100,96,10,5",,
2910,,A166C,"47,30,49,2",,
2911,,A160C,"24,99,95,19",,
2912,,A168C,"71,17,0,0",,
2913,,A164C,"0,99,97,0",,
2914,,A181C,"61,25,100,7",,
2915,,A178C,"58,63,52,31",,
2916,,A173C,"0,40,97,0",,
2917,,A156C,"47,53,67,25",,
2918,,A154C,"53,60,64,37",,
2919,,A157C,"33,100,61,31",,
2920,,A175C,"22,91,45,3",,
2921,,A172C,"87,39,37,7",,
2922,,A158C,"95,71,15,2",,
2923,,A174C,"100,90,42,51",,
2924,,A169C,"97,74,2,0",,
2925,,A161C,"100,90,40,47",,
2926,,A184C,"43,84,80,68",,
2927,,A188C,"86,49,2,0",,
2928,,A167C,"88,40,64,27",,
2929,,A177C,"67,0,28,0",,
2930,,A185C,"79,44,75,41",,
2931,,A091B,"89,30,100,21",,
2932,,A096B,"100,83,6,0",,
2933,,A093B,"7,98,82,1",,
2934,,A085B,"94,69,7,1",,
2935,,A087B,"95,88,0,0",,
2936,,A078B,"41,89,80,64",,
2937,,A076B,"13,100,100,4",,
2938,,A075B,"89,47,42,14",,
2939,,A094B,"91,55,24,5",,
2940,,A084B,"58,4,100,0",,
2941,,A072B,"29,100,100,39",,
2942,,A092B,"76,54,0,0",,
2943,,A086B,"90,70,30,12",,
2944,,A090B,"65,18,100,3",,
2945,,A083B,"49,53,62,23",,
2946,,A079B,"99,100,26,21",,
2947,,A088B,"45,41,76,15",,
2948,,A082B,"88,63,32,13",,
2949,,A095B,"64,45,38,8",,
2950,,A074B,"100,89,22,7",,
2951,,A510D,"69,12,0,0",,
2952,,A344A,"85,45,31,5",,
2953,,A616D,"94,85,6,0",,
2954,,A663D,"98,71,23,7",,
2955,,A737D,"60,100,11,2",,
2956,,A347A,"0,0,0,90",,
2957,,A348A,"91,60,8,0",,
2958,,A352A,"100,96,31,53",,
2959,,A446D,"21,100,100,16",,
2960,,A353A,"73,67,63,74",,
2961,,A354A,"3,28,58,0",,
2962,,A356A,"100,91,27,14",,
2963,,A357A,"80,20,41,1",,
2964,,A358A,"100,88,28,15",,
2965,,A359A,"59,69,73,76",,
2966,,A360A,"82,100,15,5",,
2967,,A361A,"100,90,38,36",,
2968,,A362A,"73,89,42,43",,
2969,,A363A,"87,25,100,15",,
2970,,A364A,"70,41,100,33",,
2971,,A365A,"69,79,20,5",,
2972,,A608D,"69,79,20,5",,
2973,,A366A,"2,25,54,0",,
2974,,A367A,"61,13,23,0",,
2975,,A368A,"0,0,0,90",,
2976,,A350A,"68,24,40,1",,
2977,,A351A,"80,40,33,4",,
2978,,A701D,"10,100,98,2",,
2979,,A664D,"75,55,80,75",,
2980,,A682D,"80,31,75,15",,
2981,,A726D,"49,71,76,63",,
2982,,A512D,"0,99,97,0",,
2983,,A623D,"75,43,18,1",,
2984,,A463D,"31,100,100,43",,
2985,,A433D,"100,85,32,18",,
2986,,A629D,"91,62,0,0",,
2987,,A465D,"28,64,99,16",,
2988,,A632D,"89,56,20,2",,
2989,,A681D,"56,29,26,0",,
2990,,A462D,"0,62,80,0",,
2991,,A633D,"87,22,100,10",,
2992,,A625D,"91,62,0,0",,
2993,,A630D,"84,80,22,7",,
2994,,A464D,"78,53,25,4",,
2995,,A513D,"76,41,100,36",,
2996,,A619D,"100,90,38,36",,
2997,,A423D,"98,78,29,15",,
2998,,A622D,"71,5,41,0",,
2999,,A725D,"23,100,99,17",,
3000,,A470D,"97,78,45,42",,
3001,,A268A,"70,69,8,0",,
3002,,A334F,"36,100,68,53",,
3003,,A228A,"7,7,9,60",,
3004,,A194A,"44,18,87,1",,
3005,,A254A,"16,12,54,0",,
3006,,A220A,"68,3,10,0",,
3007,,A248A,"89,74,6,0",,
3008,,A213A,"71,1,16,0",,
3009,,A188A,"96,74,2,0",,
3010,,A199A,"53,78,8,0",,
3011,,A267A,"78,56,36,14",,
3012,,A246A,"57,28,12,0",,
3013,,A247A,"82,44,100,49",,
3014,,A249A,"92,65,26,8",,
3015,,A271A,"9,6,7,0",,
3016,,A233A,"92,69,38,24",,
3017,,A258A,"80,8,70,0",,
3018,,A299A,"50,70,80,70",,
3019,,A231A,"100,87,33,23",,
3020,,A237A,"67,61,60,47",,
3021,,A259A,"77,43,43,12",,
3022,,A226A,"45,38,38,2",,
3023,,A290A,"100,86,29,16",,
3024,,A301A,"62,91,15,2",,
3025,,A265A,"91,84,0,0",,
3026,,A221A,"91,50,32,8",,
3027,,A176A,"100,88,8,0",,
3028,,A210A,"30,90,82,32",,
3029,,A240A,"75,100,0,0",,
3030,,A293A,"25,100,100,25",,
3031,,A187A,"18,100,89,9",,
3032,,A324A,"69,63,62,58",,
3033,,A192A,"74,9,49,0",,
3034,,A325A,"31,67,100,22",,
3035,,A291A,"36,60,82,23",,
3036,,A232A,"23,100,82,16",,
3037,,A264A,"15,100,71,3",,
3038,,A215A,"79,67,13,1",,
3039,,A317A,"53,37,61,11",,
3040,,A343A,"83,62,40,22",,
3041,,A303A,"80,40,4,0",,
3042,,A191A,"84,27,54,7",,
3043,,A272A,"74,75,0,0",,
3044,,A198A,"33,97,79,43",,
3045,,A334A,"71,64,35,14",,
3046,,A208A,"53,6,38,0",,
3047,,A193A,"58,59,74,53",,
3048,,A243A,"81,68,56,58",,
3049,,A200A,"36,86,79,53",,
3050,,A338A,"98,85,38,31",,
3051,,A211A,"36,45,79,12",,
3052,,A206A,"83,44,3,0",,
3053,,A183A,"93,61,40,21",,
3054,,A189A,"69,90,40,34",,
3055,,A310A,"75,16,99,2",,
3056,,A225A,"74,18,41,0",,
3057,,A204A,"42,17,4,0",,
